date,COAL,URANIUM,BIOMASS,GAS,OIL,GEOTHERMAL,WIND,SOLAR,HYDRO,ENERGY_DEMAND,MAX_ENERGY_PRICE,COAL_PRICE,URANIUM_PRICE,BIOMASS_PRICE,GAS_PRICE,OIL_PRICE
2012-03-19 10:30:00,999936,1000551,1000673,999935,1000794,1139078,1531962,0,1085668,956852,956852,1114046,1515615,839133,690643,1112512
2012-03-19 11:30:00,1000152,1000353,1000724,999873,1000949,1139078,1531962,0,1082183,993764,993764,1114037,1515372,838127,690735,1112415
2012-03-19 12:30:00,1000111,1000191,1000747,999873,1000723,1139078,2042616,490281,1077306,998307,998307,1114027,1515059,837030,690810,1112299
2012-03-19 13:30:00,1000213,1000194,1000875,999654,1000682,1139078,2042616,1039596,1074518,1006824,1006824,1114017,1514676,835841,690868,1112165
2012-03-19 14:30:00,1000088,1000168,1000894,999669,1000983,1139078,2042616,1751738,1073821,1023860,1023860,1114005,1514222,834561,690910,1112012
2012-03-19 15:30:00,999990,1000098,1000732,999497,1000820,1096890,2042616,908793,1073125,1028403,1028403,1113992,1513698,833189,690934,1111840
2012-03-19 16:30:00,999809,1000283,1000597,999593,1000644,1096890,2042616,930215,1073125,1031243,1031243,1113979,1513104,831726,690941,1111650
2012-03-19 17:30:00,999803,1000217,1000473,999366,1000468,1054702,2042616,1544713,1073821,1028971,1028971,1113965,1512440,830171,690932,1111440
2012-03-19 18:30:00,999842,1000100,1000390,999522,1000549,1012514,2042616,2857952,1074518,1013639,1013639,1113950,1511706,828525,690905,1111212
2012-03-19 19:30:00,999771,1000095,1000328,999518,1000572,970325,2042616,1941631,1073821,996603,996603,1113934,1510901,826787,690862,1110965
2012-03-19 20:30:00,999714,1000161,1000205,999722,1000482,970325,1531962,877539,1075215,1013639,1013639,1113918,1510026,824958,690802,1110700
2012-03-19 21:30:00,999642,1000042,1000107,999833,1000447,970325,1531962,248347,1082183,1013639,1013639,1113900,1509081,823038,690725,1110415
2012-03-19 22:30:00,999599,1000147,999935,999911,1000488,970325,2553270,392449,1082183,983542,983542,1113882,1508066,821026,690631,1110112
2012-03-19 23:30:00,999781,1000150,1000021,999751,1000416,970325,3063924,0,1089849,886437,886437,1113863,1506980,818922,690520,1109790
2012-03-20 00:30:00,999734,1000299,1000153,999773,1000398,928137,1531962,0,1089152,822268,822268,1113843,1505825,816728,690392,1109450
2012-03-20 01:30:00,999917,1000043,1000166,999791,1000470,885949,1021308,0,1092636,778543,778543,1113823,1504611,814478,690276,1109118
2012-03-20 02:30:00,999926,1000017,1000097,999790,1000501,885949,1021308,0,1097514,739928,739928,1113803,1503339,812173,690171,1108795
2012-03-20 03:30:00,1000042,1000100,999938,999801,1000543,843761,1021308,0,1107269,729706,729706,1113783,1502008,809812,690078,1108480
2012-03-20 04:30:00,1000116,1000065,999998,999633,1000559,843761,1021308,0,1120509,714942,714942,1113763,1500620,807397,689997,1108175
2012-03-20 05:30:00,1000134,1000060,1000145,999430,1000431,843761,1531962,0,1129568,735385,735385,1113743,1499173,804927,689927,1107878
2012-03-20 06:30:00,1000156,999930,1000214,999292,1000454,928137,1531962,0,1131659,763210,763210,1113723,1497669,802401,689868,1107590
2012-03-20 07:30:00,1000105,1000017,1000180,999358,1000282,970325,1531962,0,1130265,855204,855204,1113703,1496106,799821,689822,1107310
2012-03-20 08:30:00,1000223,999857,1000035,999366,1000369,1054702,1531962,0,1130265,894387,894387,1113683,1494485,797185,689786,1107040
2012-03-20 09:30:00,1000209,999740,999991,999170,1000337,1139078,1021308,0,1123993,908584,908584,1113664,1492806,794494,689763,1106778
2012-03-20 10:30:00,1000350,999563,1000042,999373,1000491,1139078,1021308,0,1117722,929027,929027,1113644,1491068,791749,689751,1106525
2012-03-20 11:30:00,1000239,999672,999935,999367,1000447,1181266,1531962,0,1105876,958556,958556,1113624,1489273,788948,689750,1106280
2012-03-20 12:30:00,1000203,999806,999880,999406,1000332,1181266,1531962,569522,1106573,997739,997739,1113604,1487419,786091,689761,1106045
2012-03-20 13:30:00,1000041,999458,999870,999550,1000322,1181266,1021308,369365,1100301,1003417,1003417,1113584,1485507,783180,689784,1105818
2012-03-20 14:30:00,1000191,999503,999869,999556,1000253,1223454,510654,864303,1097514,1027268,1027268,1113564,1483537,780214,689818,1105600
2012-03-20 15:30:00,1000187,999723,999884,999781,1000148,1223454,510654,1824557,1097514,1052822,1052822,1113544,1481509,777193,689864,1105390
2012-03-20 16:30:00,1000257,999470,999872,999631,1000096,1265642,510654,2019939,1097514,1055661,1055661,1113524,1479422,774116,689922,1105189
2012-03-20 17:30:00,1000230,999340,1000074,999745,1000112,1265642,510654,2454392,1097514,1068722,1068722,1113504,1477278,770984,689991,1104997
2012-03-20 18:30:00,1000349,999387,1000188,999730,1000167,1265642,510654,2763539,1098211,1053957,1053957,1113484,1475075,767798,690071,1104814
2012-03-20 19:30:00,1000490,999393,1000148,999475,1000126,1265642,510654,2202579,1098211,1025564,1025564,1113464,1472814,764556,690163,1104640
2012-03-20 20:30:00,1000453,999426,1000257,999416,1000069,1223454,1021308,1674450,1097514,1018182,1018182,1113444,1470495,761259,690267,1104474
2012-03-20 21:30:00,1000569,999356,1000292,999382,1000060,1181266,1531962,1370510,1095423,1032946,1032946,1113424,1468118,757907,690382,1104317
2012-03-20 22:30:00,1000851,999291,1000504,999361,999830,1181266,1531962,527149,1094726,991492,991492,1113404,1465683,754500,690509,1104169
2012-03-20 23:30:00,1000739,999293,1000598,999420,999881,1139078,2042616,0,1091242,926756,926756,1113384,1463190,751038,690648,1104029
2012-03-21 00:30:00,1000697,999286,1000504,999499,999849,1096890,1531962,0,1087758,854069,854069,1113365,1460638,747520,690798,1103899
2012-03-21 01:30:00,1000640,999424,1000509,999506,999595,1054702,1531962,0,1079396,818861,818861,1113345,1457934,744039,690896,1103772
2012-03-21 02:30:00,1000822,999439,1000535,999520,999733,970325,1531962,0,1077306,787629,787629,1113327,1455079,740595,690941,1103648
2012-03-21 03:30:00,1000673,999218,1000386,999521,999566,970325,2042616,0,1075912,767753,767753,1113310,1452072,737186,690935,1103529
2012-03-21 04:30:00,1000558,999241,1000162,999658,999501,970325,2042616,0,1075912,758667,758667,1113293,1448914,733814,690877,1103413
2012-03-21 05:30:00,1000463,999315,1000195,999804,999343,970325,1531962,0,1075912,765482,765482,1113277,1445603,730479,690766,1103301
2012-03-21 06:30:00,1000508,999544,1000118,999836,999050,970325,1531962,0,1075912,790468,790468,1113262,1442141,727179,690604,1103193
2012-03-21 07:30:00,1000424,999631,1000079,999909,999151,970325,1531962,0,1076609,872240,872240,1113248,1438527,723916,690389,1103088
2012-03-21 08:30:00,1000553,999799,1000036,1000083,999046,970325,1531962,0,1082183,913127,913127,1113235,1434761,720690,690123,1102987
2012-03-21 09:30:00,1000626,999912,999883,1000114,999188,928137,1531962,0,1075912,929027,929027,1113222,1430844,717500,689804,1102890
2012-03-21 10:30:00,1000418,999781,999743,999948,999158,885949,1531962,0,1080093,963099,963099,1113211,1426774,714346,689433,1102796
2012-03-21 11:30:00,1000268,999706,999753,999934,999056,843761,2042616,0,1082880,994899,994899,1113200,1422553,711228,689010,1102706
2012-03-21 12:30:00,1000282,999805,999937,999974,999151,801573,2042616,420214,1084971,1028403,1028403,1113190,1418181,708147,688535,1102620
2012-03-21 13:30:00,1000326,999945,999935,999745,999092,801573,2042616,1423946,1082880,1045439,1045439,1113181,1413656,705102,688008,1102538
2012-03-21 14:30:00,1000115,1000012,999802,999667,998932,801573,2042616,2298694,1083577,1057932,1057932,1113173,1408980,702094,687428,1102459
2012-03-21 15:30:00,999902,999548,999725,999760,999089,801573,2553270,3029717,1083577,1063043,1063043,1113165,1404152,699122,686797,1102384
2012-03-21 16:30:00,999882,999583,999846,1000015,998969,843761,2553270,3478331,1082880,1056229,1056229,1113159,1399172,696186,686114,1102313
2012-03-21 17:30:00,999796,999567,999816,999924,998994,843761,2553270,3216552,1088455,1057932,1057932,1113153,1394040,693286,685378,1102246
2012-03-21 18:30:00,999762,999763,999644,1000097,998920,843761,2553270,3442600,1080093,1046007,1046007,1113148,1388757,690423,684590,1102182
2012-03-21 19:30:00,999552,999632,999638,1000317,999008,885949,2553270,2959587,1071034,1013639,1013639,1113144,1383321,687596,683751,1102122
2012-03-21 20:30:00,999684,999679,999605,1000106,998957,885949,2042616,2223891,1068944,1013071,1013071,1113140,1377735,684806,682859,1102066
2012-03-21 21:30:00,999558,999759,999566,999943,998803,885949,1531962,1340353,1068944,1018182,1018182,1113138,1371996,682052,681915,1102013
2012-03-21 22:30:00,999310,999830,999458,999991,998900,885949,1531962,519872,1063369,970481,970481,1113136,1366105,679334,680919,1101964
2012-03-21 23:30:00,999454,999920,999408,999993,999030,885949,1531962,0,1068247,908584,908584,1113135,1360063,676653,679871,1101919
2012-03-22 00:30:00,999575,999803,999465,999927,999111,843761,2042616,0,1067550,858612,858612,1113135,1353869,674008,678771,1101877
2012-03-22 01:30:00,999725,999770,999435,999989,999292,843761,2042616,0,1068944,810343,810343,1113134,1347772,671460,677657,1101835
2012-03-22 02:30:00,999604,999759,999477,999940,999300,843761,2042616,0,1069640,774000,774000,1113130,1341772,669010,676531,1101792
2012-03-22 03:30:00,999793,1000067,999643,1000047,999317,801573,2042616,0,1067550,742767,742767,1113125,1335868,666656,675391,1101747
2012-03-22 04:30:00,999810,999926,999859,999961,999476,801573,1531962,0,1071731,743903,743903,1113119,1330061,664401,674238,1101702
2012-03-22 05:30:00,999922,999858,999817,1000038,999651,801573,1531962,0,1082183,760371,760371,1113110,1324351,662242,673072,1101656
2012-03-22 06:30:00,999918,999625,999941,1000058,999879,801573,1531962,0,1078699,793307,793307,1113100,1318738,660181,671892,1101609
2012-03-22 07:30:00,1000146,999387,999930,999909,999787,801573,1531962,0,1086364,875080,875080,1113089,1313221,658217,670700,1101561
2012-03-22 08:30:00,1000073,999186,1000003,999818,999959,801573,1021308,0,1091939,912559,912559,1113075,1307801,656351,669494,1101512
2012-03-22 09:30:00,1000214,999209,1000172,1000044,999995,801573,1531962,0,1094030,937545,937545,1113061,1302479,654581,668275,1101463
