date,COAL,URANIUM,BIOMASS,GAS,OIL,GEOTHERMAL,WIND,SOLAR,HYDRO,ENERGY_DEMAND,MAX_ENERGY_PRICE,COAL_PRICE,URANIUM_PRICE,BIOMASS_PRICE,GAS_PRICE,OIL_PRICE
2017-03-12 04:30:00,999997,999666,1000162,999947,1000411,166382,3199391,0,1112305,933316,933316,849880,701542,778500,996440,996125
2017-03-12 05:30:00,1000128,999750,1000237,999914,1000482,166382,3199391,0,1110341,933963,933963,849992,701865,778460,996755,996110
2017-03-12 06:30:00,1000196,999797,1000081,999817,1000626,166382,3199391,0,1109032,944951,944951,850104,702189,778420,997069,996096
2017-03-12 07:30:00,1000374,999841,1000086,999959,1000540,166382,3199391,0,1103794,955292,955292,850215,702513,778380,997384,996081
2017-03-12 08:30:00,1000369,999916,1000145,1000275,1000619,166382,3199391,0,1105758,983085,983085,850327,702837,778340,997698,996067
2017-03-12 09:30:00,1000420,999930,1000084,1000194,1000657,166382,3199391,0,1104449,999243,999243,850439,703161,778300,998013,996052
2017-03-12 10:30:00,1000203,999694,1000087,1000228,1000700,166382,3199391,0,1101175,1023804,1023804,850551,703485,778261,998328,996038
2017-03-12 11:30:00,1000323,999827,1000261,1000278,1000579,166382,3199391,0,1098557,1039316,1039316,850663,703809,778221,998642,996023
2017-03-12 12:30:00,1000364,1000027,1000370,1000220,1000304,166382,2742335,0,1094629,1040609,1040609,850774,704133,778181,998957,996009
2017-03-12 13:30:00,1000214,999954,1000460,1000343,1000298,166382,3199391,886108,1092010,1043194,1043194,850886,704456,778141,999271,995994
2017-03-12 14:30:00,1000204,1000060,1000390,1000279,1000241,166382,3199391,1860117,1089391,1044487,1044487,850998,704780,778101,999586,995980
2017-03-12 15:30:00,1000495,1000051,1000491,1000328,1000272,166382,3656447,2062412,1087427,1030268,1030268,851110,705104,778061,999900,995965
