date,COAL,URANIUM,BIOMASS,GAS,OIL,GEOTHERMAL,WIND,SOLAR,HYDRO,ENERGY_DEMAND,MAX_ENERGY_PRICE,COAL_PRICE,URANIUM_PRICE,BIOMASS_PRICE,GAS_PRICE,OIL_PRICE
2014-11-02 02:30:00,-1541,-9361,4909,2839,1079,661434,387685,0,972541,734022,1251410,1011375,923437,928314,1078542,1076937
2014-11-02 03:30:00,-2101,-10140,4888,1916,937,661434,387685,0,971889,732838,1253255,1011165,922882,928555,1079464,1076874
2014-11-02 04:30:00,-2817,-9076,5281,1941,1020,661434,387685,0,971889,709160,1291650,1010954,922327,928797,1080386,1076811
2014-11-02 05:30:00,-3058,-7867,3861,-397,114,661434,387685,0,971889,703240,1301718,1010744,921772,929038,1081307,1076748
2014-11-02 06:30:00,-3887,-8012,958,-1350,633,771673,387685,0,971889,720407,1273048,1010533,921217,929280,1082229,1076685
2014-11-02 07:30:00,-4013,-5882,874,-1826,471,771673,387685,0,972541,754740,1220208,1010323,920662,929521,1083151,1076622
2014-11-02 08:30:00,-3472,-7773,568,-2122,613,661434,387685,0,972541,754740,1220208,1010112,920107,929763,1084072,1076559
2014-11-02 09:30:00,-3225,-7349,-9,-180,-492,661434,193842,0,970583,787889,1174197,1009902,919552,930004,1084994,1076496
2014-11-02 10:30:00,-2678,-8189,-445,-1866,-1217,661434,193842,0,966667,823999,1128884,1009692,918996,930246,1085916,1076433
2014-11-02 11:30:00,-4826,-7407,-1625,-708,-1104,551195,193842,0,963403,825182,1127475,1009481,918441,930487,1086837,1076370
2014-11-02 12:30:00,-4607,-6833,-1308,-321,-1143,440956,387685,0,962751,813935,1141050,1009271,917886,930728,1087759,1076307
2014-11-02 13:30:00,-4707,-5409,-557,-1249,-1109,440956,387685,1534689,962751,806832,1149847,1009060,917331,930970,1088681,1076244
2014-11-02 14:30:00,-4513,-3945,317,-2273,72,440956,387685,5828822,958834,816895,1137436,1008850,916776,931211,1089602,1076181
2014-11-02 15:30:00,-4461,-3619,-1111,-4826,-56,440956,387685,7803201,957529,796177,1163380,1008639,916221,931453,1090524,1076118
2014-11-02 16:30:00,-2662,-4477,-134,-4794,-3229,551195,387685,8835693,955571,810976,1144694,1008429,915666,931694,1091445,1076055
2014-11-02 17:30:00,-3876,-1485,-1123,-5691,-3462,551195,387685,8887796,956223,845309,1104213,1008218,915111,931936,1092367,1075992
2014-11-02 18:30:00,-6245,1141,-507,-5188,-4296,551195,387685,7913664,955571,880826,1066104,1008008,914555,932177,1093289,1075929
2014-11-02 19:30:00,-4381,1426,594,-5849,-1617,551195,387685,6058170,954918,916343,1031338,1007797,914000,932418,1094210,1075866
2014-11-02 20:30:00,-3158,1296,962,-7722,-1284,551195,387685,3623910,954918,896809,1050073,1007587,913445,932660,1095132,1075803
2014-11-02 21:30:00,-1199,1901,1602,-9933,-2037,661434,193842,0,952960,895033,1051822,1007376,912890,932901,1096054,1075740
2014-11-02 22:30:00,269,2886,1731,-9855,-1442,661434,193842,0,954265,882010,1064894,1007166,912335,933143,1096975,1075677
2014-11-02 23:30:00,278,2143,1801,-9299,-2957,661434,193842,0,949044,848269,1100898,1006956,911780,933384,1097897,1075614
2014-11-03 00:30:00,-190,5049,467,-10522,-1633,661434,193842,0,954265,812751,1142504,1006745,911225,933626,1098819,1075551
2014-11-03 01:30:00,773,6050,-1724,-11409,-812,661434,193842,0,949696,811568,1143962,1006535,910670,933867,1099740,1075488
2014-11-03 02:30:00,-61,5501,-1942,-12022,-1869,661434,193842,0,942516,764803,1205755,1006324,910115,934108,1100662,1075425
2014-11-03 03:30:00,-56,5653,-2920,-12261,-2389,661434,193842,0,945127,772499,1194994,1006114,909559,934350,1101584,1075362
2014-11-03 04:30:00,-668,4777,-2654,-11710,-3707,661434,193842,0,947085,785522,1177335,1005903,909004,934591,1102505,1075299
